	no	0.9995213625131583	yes	4.786374868416981E-4
	no	0.9998489316591609	yes	1.5106834083902174E-4
	no	0.9994252241860485	yes	5.747758139514851E-4
	no	0.9316698415789463	yes	0.06833015842105376
	no	0.9626700033198942	yes	0.03732999668010595
	no	0.9536908471748458	yes	0.04630915282515433
	no	0.9330452788954892	yes	0.06695472110451083
	no	0.9809845878312955	yes	0.01901541216870457
	no	0.9937369723740316	yes	0.006263027625968407
	no	0.983286624376148	yes	0.016713375623851952
	no	0.9912741128225624	yes	0.008725887177437485
	no	0.9525007567135511	yes	0.047499243286448986
	no	0.9544577839756873	yes	0.04554221602431281
	no	0.9469493031984363	yes	0.05305069680156376
	no	0.8323527014217079	yes	0.16764729857829205
	no	0.9979026502662408	yes	0.0020973497337590866
	no	0.9988417100035124	yes	0.0011582899964874824
	no	0.99942350065827	yes	5.764993417299114E-4
	no	0.9961358577625062	yes	0.0038641422374937747
	no	0.9238015375849229	yes	0.07619846241507724
	no	0.982561999950516	yes	0.017438000049484068
	no	0.6860146487429611	yes	0.31398535125703886
	no	0.9996439074167646	yes	3.560925832353459E-4
	no	0.999416791956383	yes	5.832080436171107E-4
	no	0.9908573965553776	yes	0.00914260344462235
	no	0.89462796385107	yes	0.10537203614892988
	no	0.9999762116806805	yes	2.37883193194592E-5
	no	0.9999543372720167	yes	4.566272798336011E-5
	no	0.9078740419648964	yes	0.0921259580351035
	no	0.9657485425428337	yes	0.034251457457166165
	no	0.7962339881036645	yes	0.20376601189633542
	no	0.9963849601447817	yes	0.0036150398552183337
	no	0.9947762296702883	yes	0.0052237703297116685
	no	0.9937634002396241	yes	0.0062365997603759825
	no	0.9994270448741239	yes	5.729551258760216E-4
	no	0.998957681544518	yes	0.0010423184554819347
	no	0.8968241102778841	yes	0.1031758897221159
	no	0.9882535185621896	yes	0.011746481437810517
	no	0.9998428987782229	yes	1.571012217772101E-4
	no	0.7878486349620031	yes	0.2121513650379968
	no	0.9935581314949469	yes	0.006441868505053134
	no	0.9954347522138769	yes	0.0045652477861231715
	no	0.9938585968195731	yes	0.006141403180426878
	no	0.9998564813358457	yes	1.4351866415420072E-4
